No_Vuelo,origin,destination,origin_latitude,origin_longitude,destination_latitude,destination_longitude
1315,MTY,MIA,25.7785,-100.107,25.7932,-80.2906
1316,MTY,MIA,25.7785,-100.107,25.7932,-80.2906
1317,MTY,MIA,25.7785,-100.107,25.7932,-80.2906
1318,MTY,MIA,25.7785,-100.107,25.7932,-80.2906
1319,MTY,MIA,25.7785,-100.107,25.7932,-80.2906
1320,MEX,PHL,19.4363,-99.0721,39.8719,-75.2411
1321,MEX,PHL,19.4363,-99.0721,39.8719,-75.2411
1322,MEX,PHL,19.4363,-99.0721,39.8719,-75.2411
1323,MEX,PHL,19.4363,-99.0721,39.8719,-75.2411
1324,MEX,PHL,19.4363,-99.0721,39.8719,-75.2411
1325,MEX,PHL,19.4363,-99.0721,39.8719,-75.2411
1326,MEX,PHL,19.4363,-99.0721,39.8719,-75.2411
1327,MEX,PHL,19.4363,-99.0721,39.8719,-75.2411
1328,MEX,PHX,19.4363,-99.0721,33.4343,-112.012
1329,MEX,PHX,19.4363,-99.0721,33.4343,-112.012
1330,MEX,PHX,19.4363,-99.0721,33.4343,-112.012
1331,MEX,PHX,19.4363,-99.0721,33.4343,-112.012
1332,MEX,PHX,19.4363,-99.0721,33.4343,-112.012
1333,MEX,PHX,19.4363,-99.0721,33.4343,-112.012
1334,MEX,MIA,19.4363,-99.0721,25.7932,-80.2906
1335,MEX,MIA,19.4363,-99.0721,25.7932,-80.2906
1336,MEX,MIA,19.4363,-99.0721,25.7932,-80.2906
1337,MEX,MIA,19.4363,-99.0721,25.7932,-80.2906
1338,MEX,MIA,19.4363,-99.0721,25.7932,-80.2906
1339,MEX,MIA,19.4363,-99.0721,25.7932,-80.2906
1340,MEX,MIA,19.4363,-99.0721,25.7932,-80.2906
1341,MEX,MIA,19.4363,-99.0721,25.7932,-80.2906
1342,MEX,MIA,19.4363,-99.0721,25.7932,-80.2906
1343,MEX,MIA,19.4363,-99.0721,25.7932,-80.2906
1344,MEX,MIA,19.4363,-99.0721,25.7932,-80.2906
1345,MEX,MIA,19.4363,-99.0721,25.7932,-80.2906
1346,SLP,DFW,22.2543,-100.931,32.8968,-97.038
1347,SLP,DFW,22.2543,-100.931,32.8968,-97.038
1348,SLP,DFW,22.2543,-100.931,32.8968,-97.038
1349,SLP,DFW,22.2543,-100.931,32.8968,-97.038
1350,SLP,DFW,22.2543,-100.931,32.8968,-97.038
1351,SLP,DFW,22.2543,-100.931,32.8968,-97.038
1352,SLP,DFW,22.2543,-100.931,32.8968,-97.038
1353,SLP,DFW,22.2543,-100.931,32.8968,-97.038
1354,SLP,DFW,22.2543,-100.931,32.8968,-97.038
1355,SLP,DFW,22.2543,-100.931,32.8968,-97.038
